index,rooms,metratura,bathrooms,floor,condominium_expenses,date,contract,typology,total_floors,availability,other_features,price,year_of_build,condition,air_conditioning,energy_efficiency,city,neighborhood,car_parking,energy_performance_building,housing units,start_end_works,current_building_use,energy_certification,co2_emissions,elevator,floor_level,heating_centralized,heating_radiator,heating_gas,air_conditiong_centralized,air_conditioning_heat
0,4,174,2,1,333,19/12/2022,sale,apartment | entire property | stately property class,6 floors,libero,cancello elettricofibra otticaporta blindataimpianto tv centralizzatoinfissi esterni in vetro / legnoesposizione doppia,990000,1930,very good / refurbished,"autonomous, cold",c257.56 kwh/m² year,milano,via giuseppina lazzaroni,,,,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold
0,3,93,2,4,100,05/12/2022,sale - download specifications,apartment | entire property | stately property class,5 floors,libero,fibra otticavideocitofonoporta blindatabalconeimpianto tv centralizzatogiardino comuneinfissi esterni in doppio vetro / pvcesposizione doppia,375000,2022,new / under construction,"centralized, cold/heat",a≥ 175 kwh/m² year,milano,cascina merlata - musocco,"1 in garage/box, 1 all'esterno",,,,,,,1,4,centralized,by air,powered by heat pump,centralized, cold/hot
0,2,75,1,R,167,06/02/2023,sale,apartment | entire property | medium property class,2 floors,libero,cancello elettricofibra otticaporta blindataesposizione internaterrazzaimpianto tv centralizzatoinfissi esterni in doppio vetro / pvc,219000,1960,very good / refurbished,"autonomous, cold/heat",g≥ 175 kwh/m² year,milano,affori,,,,,,,,1,0,centralized,to radiators,methane powered,autonomous, cold/hot
0,4,145,2,2,485,20/02/2023,sale,apartment | entire property | stately property class,8 floors,libero,fibra otticavideocitofonoimpianto di allarmeporta blindataarmadio a murobalconeportiere intera giornataimpianto tv centralizzatocantinainfissi esterni in doppio vetro / metalloesposizione doppia,1180000,1960,good / habitable,"autonomous, cold",f216.6 kwh/m² year,milano,sempione,,winter summer,,,,,,1,2,centralized,On the floor,gas powered,autonomous, cold
0,3,103,1,,230,23/02/2023,sale,apartment | entire property | economic property class,4 floors,libero,cancello elettricofibra otticavideocitofonoimpianto di allarmeporta blindataesposizione internabalconeportiere intera giornataimpianto tv centralizzatocantinagiardino comuneinfissi esterni in vetro / pvc,265000,1967,good / habitable,"autonomous, cold/heat",g125.18 kwh/m² year,milano,corvetto,,,,,,,,0,2,centralized,to radiators,gas powered,autonomous, cold/hot
0,2,50,1,5,167,31/01/2023,sale,apartment | entire property | medium property class,6 floors,libero,fibra otticavideocitofonoimpianto di allarmeesposizione internaportiere intera giornataimpianto tv centralizzatoparzialmente arredatocantinainfissi esterni in doppio vetro / pvc,420000,2005,very good / refurbished,"autonomous, cold",b175 kwh/m² year,milano,porta romana - medaglie d'oro,,,,,,,,1,5,centralized,to radiators,methane powered,autonomous, cold
0,2,55,1,1,92,16/02/2023,sale,apartment | entire property | medium property class,5 floors,libero,fibra otticaporta blindataimpianto tv centralizzatoarredatocantinainfissi esterni in doppio vetro / legnoesposizione doppia,184000,1930,very good / refurbished,,g175 kwh/m² year,milano,giambellino,,,,,,,,0,1,autonomous,to radiators,methane powered,,
0,4,150,3,,513,22/02/2023,sale,apartment | entire property | stately property class,3 floors,,cancello elettricofibra otticavideocitofonoimpianto di allarmeporta blindataesposizione internabalconeterrazzaimpianto tv centralizzatocantinagiardino privatoinfissi esterni in doppio vetro / legno,1030000,2012,very good / refurbished,,d186.25 kwh/m² year,milano,città studi,"1 in garage/box, 1 all'esterno",,,,,,,1,2,centralized,to radiators,methane powered,,
0,3,80,1,1,170,15/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,cancello elettricovideocitofonoporta blindataportiere intera giornataimpianto tv centralizzatocantinainfissi esterni in doppio vetro / metalloesposizione doppia,360000,1930,to be restructured,"autonomous, cold",f175 kwh/m² year,milano,cascina dei pomi,,,,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold
0,4,145,2,2,292,24/02/2023,sale,apartment | entire property | medium property class,5 floors,libero,cancello elettricofibra otticavideocitofonoimpianto di allarmeporta blindatabalconeportiere intera giornataimpianto tv centralizzatoarredatogiardino comuneinfissi esterni in doppio vetro / metalloesposizione doppia,890000,2012,new / under construction,"autonomous, cold",b136.69 kwh/m² year,milano,bande nere,1 in garage/box,,,,,,,1,2,centralized,to radiators,methane powered,autonomous, cold
0,3,110,1,1,250,23/02/2023,sale,apartment | entire property | medium property class,7 floors,libero,fibra otticaporta blindatabalconeportiere intera giornataimpianto tv centralizzatoparzialmente arredatocantinagiardino comuneinfissi esterni in doppio vetro / pvcesposizione doppia,580000,1960,very good / refurbished,"autonomous, cold",f≥ 175 kwh/m² year,milano,cenisio,,,,,,,,1,1,centralized,On the floor,methane powered,autonomous, cold
